*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-1011-0-CCS *{1,1} 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: *{1,1}
Support: 179

51 58 63 142 145 324 336 475 495 670 673 692 697 763 768 779 880 883 992 996 1064 1067 1122 1125 1217 1231 1234 1239 1244 1330 1333 1425 1429 1484 1492 1595 1598 1680 1685 1793 1796 1801 1812 1825 1913 1991 3790 3801 4222 4241 4530 4533 4636 4639 4653 4657 4666 4890 4894 5007 5010 5069 5072 5134 5139 5226 5229 5233 5304 5308 5311 5316 5395 5398 5459 5474 5529 5562 5615 5628 5732 5736 5747 5750 5755 5817 5820 5823 5879 5890 5954 5959 6007 6020 6105 6109 6112 6201 6204 6207 6212 6285 6288 6343 6364 6444 6457 6544 6565 6568 6619 6634 6711 6714 6717 6722 6768 6773 6820 6899 7709 7725 10245 10248 10251 10325 10328 10392 10427 10430 10435 10512 10532 10677 10687 11034 11046 11073 11292 11302 11484 11497 11646 11665 11672 11682 11847 11856 12180 12190 12203 13608 13717 13810 13815 13872 13885 14040 14051 14330 15184 17730 17859 18023 18160 19064 21063 21231 21532 21555 21778 21790 21842 21853 21856 21861 21865 22305 22464 
005226 02.06 14:23:21.448 [192.168.255.129] d3 FCT-1011-0-CCS <2019-06-02T06:23:24.183368Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005229 02.06 14:23:21.541 [192.168.255.129] d6 FCT-1011-0-CCS <2019-06-02T06:23:24.267352Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005233 02.06 14:23:21.666 [192.168.255.129] d9 FCT-1011-0-CCS <2019-06-02T06:23:24.397687Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
005304 02.06 14:23:22.431 [192.168.255.129] fc FCT-1011-0-CCS <2019-06-02T06:23:25.163068Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005308 02.06 14:23:22.509 [192.168.255.129] ff FCT-1011-0-CCS <2019-06-02T06:23:25.245701Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005311 02.06 14:23:22.555 [192.168.255.129] 03 FCT-1011-0-CCS <2019-06-02T06:23:25.285171Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005316 02.06 14:23:22.587 [192.168.255.129] 08 FCT-1011-0-CCS <2019-06-02T06:23:25.318679Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 37
005395 02.06 14:23:23.429 [192.168.255.129] 36 FCT-1011-0-CCS <2019-06-02T06:23:26.164984Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005398 02.06 14:23:23.507 [192.168.255.129] 39 FCT-1011-0-CCS <2019-06-02T06:23:26.248967Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005459 02.06 14:23:24.427 [192.168.255.129] 55 FCT-1011-0-CCS <2019-06-02T06:23:27.160197Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005474 02.06 14:23:24.505 [192.168.255.129] 5e FCT-1011-0-CCS <2019-06-02T06:23:27.244557Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005529 02.06 14:23:25.441 [192.168.255.129] 78 FCT-1011-0-CCS <2019-06-02T06:23:28.164673Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005562 02.06 14:23:25.519 [192.168.255.129] 92 FCT-1011-0-CCS <2019-06-02T06:23:28.248792Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005615 02.06 14:23:26.440 [192.168.255.129] a8 FCT-1011-0-CCS <2019-06-02T06:23:29.171789Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005628 02.06 14:23:26.518 [192.168.255.129] b5 FCT-1011-0-CCS <2019-06-02T06:23:29.255677Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005732 02.06 14:23:27.485 [192.168.255.129] ee FCT-1011-0-CCS <2019-06-02T06:23:30.180860Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005736 02.06 14:23:27.532 [192.168.255.129] f1 FCT-1011-0-CCS <2019-06-02T06:23:30.260431Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005747 02.06 14:23:27.657 [192.168.255.129] fc FCT-1011-0-CCS <2019-06-02T06:23:30.382782Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
005750 02.06 14:23:27.688 [192.168.255.129] ff FCT-1011-0-CCS <2019-06-02T06:23:30.418073Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005755 02.06 14:23:27.797 [192.168.255.129] 05 FCT-1011-0-CCS <2019-06-02T06:23:30.537037Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 36
005817 02.06 14:23:28.421 [192.168.255.129] 1b FCT-1011-0-CCS <2019-06-02T06:23:31.155038Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005820 02.06 14:23:28.499 [192.168.255.129] 1e FCT-1011-0-CCS <2019-06-02T06:23:31.237503Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005823 02.06 14:23:28.530 [192.168.255.129] 21 FCT-1011-0-CCS <2019-06-02T06:23:31.268561Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 23
005879 02.06 14:23:29.435 [192.168.255.129] 39 FCT-1011-0-CCS <2019-06-02T06:23:32.164689Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005890 02.06 14:23:29.513 [192.168.255.129] 44 FCT-1011-0-CCS <2019-06-02T06:23:32.248836Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005954 02.06 14:23:30.433 [192.168.255.129] 60 FCT-1011-0-CCS <2019-06-02T06:23:33.161243Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005959 02.06 14:23:30.511 [192.168.255.129] 64 FCT-1011-0-CCS <2019-06-02T06:23:33.245265Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
006007 02.06 14:23:31.432 [192.168.255.129] 79 FCT-1011-0-CCS <2019-06-02T06:23:34.166281Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
006020 02.06 14:23:31.510 [192.168.255.129] 82 FCT-1011-0-CCS <2019-06-02T06:23:34.251559Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
006105 02.06 14:23:32.430 [192.168.255.129] b1 FCT-1011-0-CCS <2019-06-02T06:23:35.161187Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
006109 02.06 14:23:32.508 [192.168.255.129] b4 FCT-1011-0-CCS <2019-06-02T06:23:35.245337Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
006112 02.06 14:23:32.649 [192.168.255.129] b7 FCT-1011-0-CCS <2019-06-02T06:23:35.375728Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
006201 02.06 14:23:33.444 [192.168.255.129] eb FCT-1011-0-CCS <2019-06-02T06:23:36.178279Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
006204 02.06 14:23:33.522 [192.168.255.129] ee FCT-1011-0-CCS <2019-06-02T06:23:36.260956Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
006207 02.06 14:23:33.569 [192.168.255.129] f1 FCT-1011-0-CCS <2019-06-02T06:23:36.305640Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
006212 02.06 14:23:33.600 [192.168.255.129] f6 FCT-1011-0-CCS <2019-06-02T06:23:36.332869Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 36
006285 02.06 14:23:34.427 [192.168.255.129] 21 FCT-1011-0-CCS <2019-06-02T06:23:37.160315Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
006288 02.06 14:23:34.505 [192.168.255.129] 24 FCT-1011-0-CCS <2019-06-02T06:23:37.244451Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
006343 02.06 14:23:35.425 [192.168.255.129] 3e FCT-1011-0-CCS <2019-06-02T06:23:38.164895Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
